#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample88	5.27.21	4	2021	PLP	Green	1	True Sample	Run1	Fruit	Set	2	5-27-21-GP-1	PLP21
Sample89	5.27.21	4	2021	PLP	Green	2	True Sample	Run1	Fruit	Set	2	5-27-21-GP-2	PLP21
Sample90	5.27.21	4	2021	PLP	Green	3	True Sample	Run1	Fruit	Set	2	5-27-21-GP-3	PLP21
Sample91	5.27.21	4	2021	PLP	Green	4	True Sample	Run1	Fruit	Set	2	5-27-21-GP-4	PLP21
Sample92	5.27.21	4	2021	PLP	Leaf	1	True Sample	Run1	Leaf	Set	2	5-27-21-LP-1	PLP21
Sample93	5.27.21	4	2021	PLP	Leaf	2	True Sample	Run1	Leaf	Set	2	5-27-21-LP-2	PLP21
Sample94	5.27.21	4	2021	PLP	Leaf	3	True Sample	Run1	Leaf	Set	2	5-27-21-LP-3	PLP21
Sample95	5.27.21	4	2021	PLP	Leaf	4	True Sample	Run1	Leaf	Set	2	5-27-21-LP-4	PLP21
Sample96	5.27.21	4	2021	PLP	Stem	1	True Sample	Run2	Stem	Set	2	5-27-21-SP-1	PLP21
Sample97	5.27.21	4	2021	PLP	Stem	2	True Sample	Run2	Stem	Set	2	5-27-21-SP-2	PLP21
Sample98	5.27.21	4	2021	PLP	Stem	3	True Sample	Run2	Stem	Set	2	5-27-21-SP-3	PLP21
Sample99	5.27.21	4	2021	PLP	Stem	4	True Sample	Run2	Stem	Set	2	5-27-21-SP-4	PLP21
Sample100	5.30.20	5	2020	PLP	Flower	1	True Sample	Run1	Fruit	Bloom	3	5-30-20-FP-1	PLP20
Sample101	5.30.20	5	2020	PLP	Flower	2	True Sample	Run1	Fruit	Bloom	3	5-30-20-FP-2	PLP20
Sample102	5.30.20	5	2020	PLP	Flower	3	True Sample	Run1	Fruit	Bloom	3	5-30-20-FP-3	PLP20
Sample103	5.30.20	5	2020	PLP	Flower	4	True Sample	Run1	Fruit	Bloom	3	5-30-20-FP-4	PLP20
Sample104	6.1.20	5	2020	SWMREC	Flower	1	True Sample	Run1	Fruit	Bloom	3	6-1-20-FM-1	SWMREC
Sample105	6.1.20	5	2020	SWMREC	Flower	2	True Sample	Run1	Fruit	Bloom	3	6-1-20-FM-2	SWMREC
Sample106	6.1.20	5	2020	SWMREC	Flower	3	True Sample	Run1	Fruit	Bloom	3	6-1-20-FM-3	SWMREC
Sample107	6.1.20	5	2020	SWMREC	Flower	4	True Sample	Run1	Fruit	Bloom	3	6-1-20-FM-4	SWMREC
