OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_1330,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Megacollybia,litter_saprotroph,wood_saprotroph,0,"wood,leaf/fruit/seed",non-aquatic,filamentous_mycelium,agaricoid,gills
OTU_1336,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,litter_saprotroph,0,0,leaf/fruit/seed,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_1348,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1353,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,rust,other
OTU_1354,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,soil_saprotroph,0,0,soil,non-aquatic,filamentous_mycelium,agaricoid,gills
OTU_1355,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Neofavolus,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,smooth
OTU_1361,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,soil_saprotroph,0,0,soil,non-aquatic,filamentous_mycelium,gasteroid,closed
OTU_1363,Fungi,Basidiomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1365,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1367,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,litter_saprotroph,0,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_1368,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,plant_pathogen,0,no_endophytic_capacity,0,non-aquatic,dimorphic_yeast,smut,other
OTU_1386,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_1387,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,plant_pathogen,0,no_endophytic_capacity,0,partly_aquatic,dimorphic_yeast,smut,other
